010612 Les mammifères; vivent, les baleines, les dauphins et les marsouins (mammifères de l'ordre des cétacés); lamantins et dugongs (mammifères de l'ordre des Siréniens); phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)
010613 Les mammifères; vivants, chameaux et autres camélidés (camélidés)
020726 Viande et abats comestibles; de dindes, découpes et abats, frais ou réfrigérés
020727 Viande et abats comestibles; de dindes, découpes et abats, congelés
020741 Viande et abats comestibles; de canards, non découpés en morceaux, frais ou réfrigérés
020742 Viande et abats comestibles; de canards, non découpés en morceaux, congelés
020743 Viande et abats comestibles; de canards, foies gras (foie gras), frais ou réfrigérés
020744 Viande et abats comestibles; de canards, découpes et abats, à l'exclusion des foies gras, frais ou réfrigérés
020745 Viande et abats comestibles; de canards, découpes et abats, à l'exclusion des foies gras, congelés
020751 Viande et abats comestibles; d'oies, non découpées en morceaux, fraîches ou réfrigérées
020752 Viande et abats comestibles; d'oies, non découpées en morceaux, congelées
020753 Viande et abats comestibles; d'oies, foies gras (foie gras), frais ou réfrigérés
020754 Viande et abats comestibles; d'oies, découpes et abats, à l'exclusion des foies gras, frais ou réfrigérés
020755 Viande et abats comestibles; d'oies, découpes et abats, à l'exclusion des foies gras, congelés
020760 Viande et abats comestibles; de pintades, fraîches, réfrigérées ou congelées
0208 Viande et abats comestibles, n.c.a. au chapitre 2; frais, réfrigéré ou congelé
020810 Viande et abats comestibles; de lapins ou de lièvres, frais, réfrigérés ou congelés
020830 Viande et abats comestibles; de primates, frais, réfrigérés ou congelés
020840 Viande et abats comestibles; des baleines, des dauphins et des marsouins (mammifères de l'ordre des cétacés); de lamantins et de dugongs (mammifères de l'ordre des Siréniens); des phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia), frais, réfrigérés ou congelés
020850 Viande et abats comestibles; de reptiles (y compris les serpents et les tortues), frais, réfrigérés ou congelés
020860 Viande et abats comestibles; de chameaux et autres camélidés (camélidés), frais, réfrigérés ou congelés
020890 Viande et abats comestibles; n.c.a. au chapitre 2, frais, réfrigérés ou congelés
0209 Lard sans graisse, sans viande maigre, et graisse de volailles, non fondus ni autrement extraits, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés
020910 Graisse; graisse de porc, sans viande maigre, non fondue ni autrement extraite, fraîche, réfrigérée, congelée, salée, en saumure, séchée ou fumée
020990 Graisse; graisses de volaille, non fondues ni autrement extraites, fraîches, réfrigérées, congelées, salées ou en saumure, séchées ou fumées
0210 Viande et abats comestibles; salés, en saumure, séchés ou fumés; farines et poudres comestibles de viandes ou d'abats
021011 Moi à; salés, en saumure, séchés ou fumés, de porcins, jambons, épaules et leurs morceaux, avec os en
021012 Moi à; salés, en saumure, séchés ou fumés, de porcins, de ventres (entrelacés) et leurs morceaux
021019 Moi à; salés en saumure, séchés ou fumés, de porcins, n.c.a. dans l'article no. 0210.1
021020 Moi à; salés, en saumure, séchés ou fumés, de l'espèce bovine
021091 Viande et abats comestibles; salés, en saumure, séchés ou fumés, et farines et poudres, comestibles, de viandes ou d'abats, de primates
021092 Viande et abats comestibles; salés, en saumure, séchés ou fumés; farines comestibles, farines de viande ou d'abats, de baleines, de dauphins, de marsouins (d'ordre des cétacés); lamantins, dugongs (d'ordre Sirenia); phoques, lions de mer et morses (du sous-ordre Pinnipedia)
021093 Viande et abats comestibles; salés, en saumure, séchés ou fumés et farines et poudres, comestibles, de viandes ou d'abats, de reptiles (y compris les serpents et les tortues)
021099 Viande et abats comestibles; salés, en saumure, séchés ou fumés, farines et poudres, comestibles, de viande ou d'abats, autres que primates, baleines, dauphins, marsouins, lamantins, dugongs, phoques, otaries, morses, reptiles (y compris serpents et tortues)
03 POISSONS ET CRUSTACÉS, MOLLUSQUES ET AUTRES INVERTÉBRÉS AQUATIQUES
0301 Poisson; vivre
030111 Poisson; vivant, ornemental, eau douce
030119 Poisson; vivant, ornemental, autre que l'eau douce
030191 Poisson; vivants, truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)
030192 Poisson; vivant, les anguilles (Anguilla spp.)
030193 Poisson; vivant, carpe (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
030194 Poisson; vivants, thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis)
030195 Poisson; vivants, thons rouges du Sud (Thunnus maccoyii)
030199 Poisson; vivre, n.c.a. dans la position 0301
0302 Poisson; frais ou réfrigérés, à l'exclusion des filets de poisson et autres chairs de poissons du n ° 0304
030211 Poisson; frais ou réfrigérés, truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles de 0302.9
030213 Poisson; frais ou réfrigérés, saumon du Pacifique (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), non filets, viande de 0304, et abats comestibles de 0302.9
030214 Poisson; du saumon atlantique (Salmo salar) et du saumon du Danube (Hucho hucho), à l'exclusion des filets, de la chair de poisson de 0304, et des abats comestibles des sous-positions 0302.91 à 0302.99, frais ou réfrigérés
030219 Poisson; frais ou réfrigérés, salmonidés, n.c.a. dans l'article no. 0302.1, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030221 Poisson; du flétan (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), frais ou réfrigéré, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030222 Poisson; de plie (Pleuronectes platessa), à l'exclusion des filets, de la chair de poisson de 0304, et des abats comestibles des sous-positions 0302.91 à 0302.99, frais ou réfrigérés
030223 Poisson; fraîches ou réfrigérées, sole (Solea spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030224 Poisson; des turbots (Psetta maxima, Scophthalmidae), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030229 Poisson; frais ou réfrigéré, poisson plat, n.c.a. dans l'article no. 0302.2, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030231 Poisson; du thon germon ou du thon à nageoire longue (Thunnus alalunga), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles de poissons des sous-positions 0302.91 à 0302.99
030232 Poisson; des thons à nageoires jaunes (Thunnus albacares), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030233 Poisson; à l'état frais ou réfrigéré, au listao ou à la bonite à ventre rayé, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030234 Poisson; des Thons obèses (Thunnus obesus), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030235 Poisson; des thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030236 Poisson; des thons rouges du Sud (Thunnus maccoyii), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030239 Poisson; frais ou réfrigéré, thon, n.c.a. dans l'article no. 0302.3, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030241 Poisson; des harengs (Clupea harengus, Clupea pallasii), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030242 Poisson; des anchois (Engraulis spp.), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030243 Poisson; des sardines (Sardina pilchardus, Sardinops spp.), des sardinelles (Sardinella spp.), des brisures ou des sprats (Sprattus sprattus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030244 Poisson; à l'état frais ou réfrigéré, maquereau (Scomber scombrus, Scomber australasicus, Scomber japonicus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030245 Poisson; frais, à l'état frais ou réfrigéré, chinchard et maquereau (Trachurus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030246 Poisson; frais ou réfrigérés, cobia (Rachycentron canadum), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030247 Poisson; de l'espadon (Xiphias gladius), frais ou réfrigéré, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030249 Poisson; frais ou réfrigéré, n.c.a. dans l'article no. 0302.4, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030251 Poisson; frais ou réfrigérés, de morues (Gadus morhua, Gadus ogac, Gadus macrocephalus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030252 Poisson; aiglefin (Melanogrammus aeglefinus), frais ou réfrigéré, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030253 Poisson; du coquillage (Pollachius virens), frais ou réfrigéré, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030254 Poisson; des merlus (Merluccius spp., Urophycis spp.), à l'exclusion des filets, de la chair de poisson de 0304, et des abats comestibles de poissons des sous-positions 0302.91 à 0302.99, à l'état frais ou réfrigéré
030255 Poisson; frais ou réfrigérés, lieu jaune de l'Alaska (Theragra chalcogramma), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030256 Poisson; frais, ou réfrigérés, de merlans bleus (Micromesistius poutassou, Micromesistius australis), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles de poissons des sous-positions 0302.91 à 0302.99
030259 Poisson; frais ou réfrigéré, n.c.a. dans l'article no. 0302.5, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030271 Poisson; tilapias (Oreochromis spp.), frais ou réfrigérés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles de poissons des sous-positions 0302.91 à 0302.99
030272 Poisson; à l'état frais ou réfrigéré, les poissons-chats (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030273 Poisson; à l'état frais ou réfrigéré, carpe (selon les spécifications de l'OMD), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030274 Poisson; des anguilles (Anguilla spp.), fraîches ou réfrigérées, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030279 Poisson; à l'état frais ou réfrigéré, la perche du Nil (Lates niloticus) et la tête de serpent (Channa spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030281 Poisson; frais ou réfrigérés, aiguillats et autres requins, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030282 Poisson; frais et réfrigérés, raies et raies (Rajidae), à ​​l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030283 Poisson; Légumes frais ou réfrigérés (Dissostichus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030284 Poisson; à l'état frais ou réfrigéré (Dicentrarchus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030285 Poisson; à l'état frais ou réfrigéré, dorade (Sparidae), à ​​l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030289 Poisson; frais ou réfrigéré, n.c.a. dans la position 0302, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0302.91 à 0302.99
030291 Poisson; frais ou réfrigérés, foies, œufs et laitance
030292 Poisson; frais ou réfrigérés, nageoires de requin
030299 Poisson; frais ou réfrigérés, ailerons de poissons (autres que les ailerons de requin), têtes, queues, guillochés et autres abats comestibles
0303 Poisson; congelés, à l'exclusion des filets de poisson et autres chairs de poissons du no 0304
030311 Poisson; congelés, saumon du Pacifique, saumon sockeye (saumon rouge) (Oncorhynchus nerka), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030312 Poisson; des saumons du Pacifique (Oncorhynchus gorbuscha / keta / tschawytscha / kisutch / masou / rhodurus) autres que le saumon sockeye (Oncorhynchus nerka), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030313 Poisson; saumon de l'Atlantique (Salmo salar) et saumon du Danube (Hucho hucho), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030314 Poisson; congelés, truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster), à l'exclusion des filets, de la viande de 0304 et des abats comestibles de 0303,91 à 0303,99
030319 Poisson; congelés, salmonidés, n.c.a. dans l'article no. 0303.1, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030323 Poisson; des tilapias (Oreochromis spp.), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030324 Poisson; des poissons-chats (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030325 Poisson; congelés, carpes (selon les spécifications de l'OMD), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030326 Poisson; congelés, anguilles (Anguilla spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030329 Poisson; des perches du Nil (Lates niloticus) et des têtes de serpent (Channa spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030331 Poisson; congelés, flétans (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030332 Poisson; des plies (Pleuronectes platessa), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030333 Poisson; de sole (Solea spp.), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030334 Poisson; congelés, turbots (Psetta maxima, Scophthalmidae), à ​​l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030339 Poisson; congelé, poisson plat, n.c.a. dans l'article no. 0303.3, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030341 Poisson; des thons congelés, germon ou à longues nageoires (Thunnus alalunga), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030342 Poisson; des thons à nageoires jaunes (Thunnus albacares), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030343 Poisson; congelés, listaos ou bonites à ventre rayé, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030344 Poisson; des thons obèses (Thunnus obesus), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030345 Poisson; thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030346 Poisson; thons rouges du Sud (Thunnus maccoyii), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030349 Poisson; congelé, thon, n.c.a. dans l'article no. 0303.4, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030351 Poisson; des harengs congelés (Clupea harengus, Clupea pallasii), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030353 Poisson; des sardines (Sardina pilchardus, Sardinops spp.), des sardinelles (Sardinella spp.), des brocolis ou des sprats (Sprattus sprattus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030354 Poisson; des maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030355 Poisson; des chinchards (Trachurus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030356 Poisson; congelés, cobia (Rachycentron canadum), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030357 Poisson; de l'espadon congelé (Xiphias gladius), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030359 Poisson; congelé, n.c.a. dans l'article no. 0303.5, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030363 Poisson; de morue (Gadus morhua, Gadus ogac, Gadus macrocephalus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030364 Poisson; aiglefin congelé (Melanogrammus aeglefinus), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030365 Poisson; congelés, brochets (Pollachius virens), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030366 Poisson; des merlus (Merluccius spp., Urophycis spp.), congelés, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030367 Poisson; congelés de l'Alaska (Theraga chalcogramma), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030368 Poisson; blancs, congelés (Micromesistius poutassou, Micromesistius australis), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030369 Poisson; congelés, de Bregmacerotidae, d'Euclichthyidae, de Gadidae, de Macrouridae, de Melanonidae, de Merlucciidae, de Moridae, de Muraenolepididae, autres que la morue, l'églefin, le cochonnet, le merlu, le lieu jaune, le bleuet, les filets non 0304 et les abats comestibles 0303.9
030381 Poisson; congelés, aiguillats et autres requins, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030382 Poisson; congelés, raies et raies (Rajidae), à ​​l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030383 Poisson; des légines (Dissostichus spp.), congelées, à l'exclusion des filets, foies, laitances et abats comestibles des sous-positions 0303.91 à 0303.99
030384 Poisson; des barbecues (Dicentrarchus spp.), à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030389 Poisson; congelé, n.c.a. dans la position 0303, à l'exclusion des filets, de la chair de poisson de 0304 et des abats comestibles des sous-positions 0303.91 à 0303.99
030391 Poisson; congelés, foies, oeufs et laitance
030392 Poisson; congelés, nageoires de requin
030399 Poisson; congelés, nageoires de poissons (autres que les ailerons de requin), têtes, queues, guillochés et autres abats de poisson comestibles
0304 Filets de poisson et autres chairs de poissons (hachées ou non); frais, réfrigéré ou congelé
030431 Filets de poisson; frais ou réfrigérés, tilapias (Oreochromis spp.)
030432 Filets de poisson; poisson-chat frais ou réfrigéré (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)
030433 Filets de poisson; frais ou réfrigéré, perche du Nil (Lates niloticus)
030439 Filets de poisson; frais ou réfrigéré, carpe (selon les spécifications de l'OMD), anguilles (Anguilla spp.) et têtes de serpent (Channa spp.)
030441 Filets de poisson; frais ou réfrigéré, saumon, Pacifique (Oncorhynchus gerbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus), Atlantique (Salmo salar), Danube (Hucho hucho)
030442 Filets de poisson; frais ou réfrigéré, truite (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)
030443 Filets de poisson; poisson plat frais ou réfrigéré (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae)
030444 Filets de poisson; frais ou réfrigéré, des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae
030445 Filets de poisson; frais ou réfrigéré, espadon (Xiphias gladius)
030446 Filets de poisson; légine fraîche ou réfrigérée (Dissostichus spp.)
030447 Filets de poisson; frais ou réfrigéré, aiguillat et autres requins
030448 Filets de poisson; frais ou réfrigéré, raies et raies (Rajidae)
030449 Filets de poisson; frais ou réfrigérés, à l'exclusion des poissons du n ° 0304.4
030451 Viande de poisson, à l'exclusion des filets, hachée ou non; frais ou réfrigéré, tilapias, poisson-chat, carpe, anguille, perche du Nil et tête de serpent
030452 Viande de poisson, à l'exclusion des filets, hachée ou non; frais ou réfrigérés, salmonidés
030453 Viande de poisson, à l'exclusion des filets, hachée ou non; frais ou réfrigéré, des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae
030454 Viande de poisson, à l'exclusion des filets, hachée ou non; frais ou réfrigéré, espadon (Xiphias gladius)
030455 Viande de poisson, à l'exclusion des filets, hachée ou non; légine fraîche ou réfrigérée (Dissostichus spp.)
030456 Viande de poisson; à l'exclusion des filets, hachés ou non; frais ou réfrigéré, aiguillat et autres requins
