iddoc,context,range,text,category,annotation
1100,"dt
- 02 98 68 23 23
Morlaix
Aéroport de Morlaix – Ploujean - Route Lannon
","{'beg': 80, 'end': 87}",Morlaix,['neu_0'],False
22,"es bon et moelleux
30/11/2020
Farida T.
Roubaix
Très bonne brioche très moelleuse
30/11","{'beg': 212, 'end': 219}",Roubaix,['neu_0'],False
977,"- VAULX EN VELIN
CDI
Consulter l'offre
INFIRMIE","{'beg': 2, 'end': 7}",VAULX,"['neu_0', 'fle_1']",False
21,"- AgoraVox le média citoyen
Se connecter
Accueil
A","{'beg': 2, 'end': 10}",AgoraVox,"['fle_1', 'neu_0']",False
218,Trier par --Prix: Plus bas en premierPrix: décroissantNom du produit: de A à ZNom,"{'beg': 30, 'end': 41}",premierPrix,"['fle_1', 'neu_0']",False
684,negresse nue wannonce dreux.,"{'beg': 22, 'end': 27}",dreux,['neu_0'],False
336,"Linux,","{'beg': 0, 'end': 5}",Linux,['neu_0'],False
466,"Métabetchouan
La Ville de Métabetchouan─Lac-à-la-Croix désire recevoir des candidatures afin d","{'beg': 228, 'end': 242}",Lac-à-la-Croix,['neu_0'],False
1043,n contraire) ou plus (à l’exception des cartes-cadeaux) réglés avec votre carte de crédit Tria,"{'beg': 162, 'end': 176}",cartes-cadeaux,['neu_0'],False
357,"px
13.0×19.4cm 118ppcm
Haute Résolution
4446×6656px
37.7×56.4cm 118ppcm
","{'beg': 68, 'end': 79}",4446×6656px,['neu_0'],False
1209,"plications dans cet article
Sur Mozilla Firefox
L’icône de votre adblocker se situe en ","{'beg': 100, 'end': 107}",Firefox,['neu_0'],False
457,"Rebecca » sur Netflix
Derniers commentaires
","{'beg': 14, 'end': 21}",Netflix,['neu_0'],False
664,"Quarante-deux rois, trente-deux reines, soixante-trois princes et princesses, ","{'beg': 14, 'end': 38}","rois, trente-deux reines","['coo_0', 'neu_0']",False
69,"ssion pour former et recruter de jeunes travailleuses et travailleurs.
","{'beg': 99, 'end': 128}",travailleuses et travailleurs,['coo_0'],True
1159,"’anniversaire de votre moutard avec ses copains et copines.
Retrouvez toutes les fermes pour enfan","{'beg': 85, 'end': 103}",copains et copines,['coo_0'],True
71,"vers invisible : Matière noire, énergie noire, trous noirs »)","{'beg': 196, 'end': 214}","noire, trous noirs","['coo_1', 'coo_0']",False
494,"Le salarié et la salariée, le prolétaire et la prolétaire, ne ven","{'beg': 0, 'end': 25}",Le salarié et la salariée,"['coo_1', 'coo_0', 'coo_2']",True
1369," révolutions ont enfanté en Périgord 87 préfets et deux préfètes, au pas de la plus longue “valse préfec","{'beg': 137, 'end': 161}",préfets et deux préfètes,"['coo_1', 'coo_2', 'coo_0']",False
65,t CEH qui est soumise à la sagacité des électrices et électeurs genevois le 3 mars prochain représente ,"{'beg': 109, 'end': 132}",électrices et électeurs,"['coo_0', 'coo_2']",True
69,Le gouvernement soutient que les Ontariennes et Ontariens plus gs veulent continuer doccuper un e,"{'beg': 33, 'end': 57}",Ontariennes et Ontariens,"['coo_1', 'coo_0']",True
69,"Mais pour les travailleuses et les travailleurs, le problm0065 nest pas l.0020La trs0020gra","{'beg': 14, 'end': 51}","travailleuses et les travailleurs, le","['coo_1', 'coo_0']",True
69,il acquises 006ct0072anger afin que les travailleuses et travailleurs immigrants puissent se trouver un emplo,"{'beg': 749, 'end': 778}",travailleuses et travailleurs,['coo_0'],True
1171, permettront de collecter les idées des parisiens et parisiennes pour mieux vivre a Paris.,"{'beg': 52, 'end': 76}",parisiens et parisiennes,"['coo_1', 'coo_0']",True
65,"
Le SIT, Syndicat interprofessionnel de travailleuses et travailleurs
Pour connaître, écouter, voir et protég","{'beg': 56, 'end': 85}",travailleuses et travailleurs,['coo_0'],True
105,"la plateforme des tendances par les blogueurs et les blogueuses , Idées & Inspiration : Recherchez et p","{'beg': 36, 'end': 63}",blogueurs et les blogueuses,"['coo_0', 'fem_1']",True
69,Les travailleuses et travailleurs plus gs ne veulent pas dun travail qui ,"{'beg': 4, 'end': 33}",travailleuses et travailleurs,['coo_0'],True
69,"ination de la retraite obligatoire, les travailleuses et travailleurs sans rg0069me de retraite adq0075at (do","{'beg': 66, 'end': 95}",travailleuses et travailleurs,['coo_0'],True
939,"Elle représente certains désirs, certaines attentes, arrangées dans un système de ","{'beg': 16, 'end': 42}","certains désirs, certaines","['coo_1', 'coo_0']",False
69, formation et de recrutement des jeunes travailleuses et travailleurs et sur des protections contre les congd,"{'beg': 278, 'end': 307}",travailleuses et travailleurs,['coo_0'],True
69,pas un revenu de retraite suffisant aux travailleuses et travailleurs.,"{'beg': 76, 'end': 105}",travailleuses et travailleurs,['coo_0'],True
1386,Plateformes différentes et environnements différents signifient souvent fonctionnalités diff,"{'beg': 12, 'end': 52}",différentes et environnements différents,"['coo_1', 'coo_0']",False
69,Les membres du SCFP croient que les travailleurs et les travailleuses ont le droit fondamental de prendre leu,"{'beg': 36, 'end': 69}",travailleurs et les travailleuses,['coo_0'],True
186,"[L’Agora]
NANTES
Réunification de la Bretagne.","{'beg': 10, 'end': 16}",NANTES,['fle_1'],False
618,"ta_art_7506873.jpg
data_art_7506865.jpg
data_art_7505208.jpg
data_art_7506869.jpg
data_art_7506871.j","{'beg': 176, 'end': 196}",data_art_7505208.jpg,['fle_1'],False
1043,"color: rgb(0, 0, 0);","{'beg': 7, 'end': 12}",rgb(0,['fle_1'],False
566,"ensibilisation, vieillissante
Juin 28
L’ASSOCIATION 193 N’OUBLIE PAS LE « TRISTE PREMIER ES","{'beg': 345, 'end': 356}",ASSOCIATION,['fle_1'],False
1020,es du bombardier léger son livrés comme Ki-2-I animés par deux Nakajima Ha1 Kotobuki à,"{'beg': 139, 'end': 145}",Ki-2-I,['fle_1'],False
193,"anger de l’Argent électronique Canadian Tire.</div><div style=""font-style: normal;","{'beg': 182, 'end': 197}",Tire.</div><div,['fle_1'],False
1410,"Nos malheurs actuels,...
Accueil > Tam-tam
Tam-tam
","{'beg': 35, 'end': 42}",Tam-tam,['fle_1'],False
803," Bell Bas Pantalon À Carreaux 1.Taille: 12m,2T, 3T,4,5,6,7,8 Avis","{'beg': 172, 'end': 177}","12m,2",['fle_1'],False
605,"LA JUSTICE !
par coriolan » 18 Déc 2011 16:24
","{'beg': 3, 'end': 10}",JUSTICE,['fle_1'],False
71," dimension sociale et societale)
Benoît BIELOOSEROFF 7 mois ago	 Reply	
Bonjour David,
Je co","{'beg': 400, 'end': 412}",BIELOOSEROFF,['fle_1'],False
1077,"grand, l’entreprise ELECTRAOM, située à CURGIES, est tenue en permanence informée des t","{'beg': 495, 'end': 502}",CURGIES,['fle_1'],False
758,Rives à Juan-les-Pins l’,"{'beg': 8, 'end': 21}",Juan-les-Pins,['fle_1'],False
1013,"De ce fait, lorsque celui-ci atteint le bouchon, les pointes se char","{'beg': 20, 'end': 28}",celui-ci,['fle_1'],False
48,Makita dhp481z 18v lxt sans brossage lithium-ion combiné perceuse,"{'beg': 37, 'end': 48}",lithium-ion,['fle_1'],False
200," le matériel nécessaire…	
lire la suite
OFFRE","{'beg': 92, 'end': 97}",OFFRE,['fle_1'],False
320,"ière discussion avec un nouveau voisin, celui-ci lui a demandé s’il avait déjà vu un lio","{'beg': 70, 'end': 78}",celui-ci,['fle_1'],False
756," (waah il est vraiment mignon), pensait Na-Eun ne lâchant le garçon des yeux.","{'beg': 60, 'end': 66}",Na-Eun,['fle_1'],False
572,"15:30
Godeimmib 0 17 Nov 2009, 10:31
Gui.home","{'beg': 0, 'end': 5}",15:30,['fle_1'],False
825,roissance saine d’ici 2027 et impact de COVID-19,"{'beg': 128, 'end': 136}",COVID-19,['fle_1'],False
357,"notre bulletin
Résolution Web
367×550px
13.0×19.4cm 28ppcm
Basse","{'beg': 63, 'end': 72}",13.0×19.4,['fle_1'],False
920,"STATUE SCULPTURE
verrierchiparussculpturelamperégulerarestatuettestylepantherestatuesignéantiquebronzedécoanciennemarbrecuitecéramiquedanseusewomanbustegrandefemmesignéenouveausuperbepanthèrefigurinechryselephantinepatinemassifsigneterreanimalierdeco","{'beg': 17, 'end': 250}",verrierchiparussculpturelamperégulerarestatuettestylepantherestatuesignéantiquebronzedécoanciennemarbrecuitecéramiquedanseusewomanbustegrandefemmesignéenouveausuperbepanthèrefigurinechryselephantinepatinemassifsigneterreanimalierdeco,['fem_1'],False
1098,"Comme nous l'avait expliqué une autre planckienne, la cosmologiste Cécile Renault, « ce c","{'beg': 38, 'end': 49}",planckienne,['fem_1'],False
295,é pour qu'Horizons publics m'envoie des newsletters (consulter notre Politique de confident,"{'beg': 76, 'end': 87}",newsletters,['fem_1'],False
1363,"Votre recherche
OK
Newsletter
E-mail
","{'beg': 19, 'end': 29}",Newsletter,['fem_1'],False
1314,Comment gères-tu le sans fichier?,"{'beg': 8, 'end': 16}",gères-tu,"['fem_1', 'fle_1']",False
864,By mccollette With,"{'beg': 3, 'end': 13}",mccollette,['fem_1'],False
233,"arte
Adresse
Prenez rendez-vous
Régions
Bruxelles
Anvers
Gand
Charleroi
Liège
Bruges
Namu","{'beg': 76, 'end': 85}",Bruxelles,['fem_1'],False
100,"activé
Necessary cookies are absolutely essential for the website to function properly.","{'beg': 60, 'end': 69}",essential,['fem_1'],False
1363,Newsletter 15.04.2013,"{'beg': 0, 'end': 10}",Newsletter,['fem_1'],False
1363,Newsletter 19.05.2016,"{'beg': 0, 'end': 10}",Newsletter,['fem_1'],False
1401,", cv a realiser en ligne , modele cv esthetticienne auto entrepreneur , cv autres formation","{'beg': 37, 'end': 51}",esthetticienne,['fem_1'],False
756,Pourquoi ses vacances viraient-elles en cauchemar comme ça ?,"{'beg': 22, 'end': 36}",viraient-elles,['fem_1'],False
1439,"rononcer sur son organe de contrôle, a-t-elle poursuivi.","{'beg': 157, 'end': 162}",-elle,['fem_1'],False
1446,éférence au rocher et à la basilique de Valère en arrière plan.,"{'beg': 142, 'end': 148}",Valère,['fem_1'],False
818,"ions, that of ms F= Firenze, Biblioteca Medicea-Laurenziana 12 sin.","{'beg': 47, 'end': 66}",Medicea-Laurenziana,['fem_1'],False
447,"Dans quelle mésure vos données sont-elle sécurisées ?
Nous prenons des mesures d","{'beg': 35, 'end': 40}",-elle,['fem_1'],False
506," un très bon Mercredi,bises
Répondre
24
Danielle1943
Samedi 2 Janvier à 18:45
Bonsoir Chris
","{'beg': 1327, 'end': 1339}",Danielle1943,['fem_1'],False
1066,"ar Dassault Aviation pour m'envoyer les newsletters auxquelles je me suis inscrit(e).
Pour ","{'beg': 314, 'end': 325}",newsletters,['fem_1'],False
731,"u eu des problèmes aussi avec cette cup saforelle ?
Merci
Reply
","{'beg': 44, 'end': 53}",saforelle,['fem_1'],False
530," simplifier photo , exemple accroche cv preparartrice de commande , job non declare sur cv , ","{'beg': 261, 'end': 274}",preparartrice,['fem_1'],True
616,"Hoc ovile quo tecti condimur, Hæc columna, qua firmi nitimur, Veritatis.
","{'beg': 30, 'end': 33}",Hæc,['neu_1'],False
616,"Adæ est edita, Mater Eva.
","{'beg': 0, 'end': 3}",Adæ,['neu_1'],False
507,Pufendorfii elementorum jurisprudentiæ universalis libri II.,"{'beg': 24, 'end': 38}",jurisprudentiæ,"['neu_1', 'neu_0']",False
507,"r Hagæ-comitense impressi, appendice de sphæra morali aucti, indicibusq ;","{'beg': 56, 'end': 62}",sphæra,"['neu_1', 'neu_0']",False
1518,econsacrent à Dieu par la solemnité des væux.,"{'beg': 139, 'end': 143}",væux,"['neu_0', 'neu_1']",False
616,", Figuratur in prima femina, Quæ de costis","{'beg': 29, 'end': 32}",Quæ,['neu_1'],False
1518,en ces termes par Robert Etienne: neque vitæ genus habent quod re aliqua sibi peculi,"{'beg': 118, 'end': 122}",vitæ,"['neu_0', 'neu_1']",False
507,Pufendorfii elementorum jurisprudentiæ universalis libri II.,"{'beg': 24, 'end': 38}",jurisprudentiæ,"['neu_1', 'neu_0']",False
616,"6, 8)
Christus enim norma iustitiæ, Matrem nostram desponsat hodie, Quam d","{'beg': 26, 'end': 34}",iustitiæ,"['neu_1', 'neu_0']",False
1518,i s'exilent volontairement : Neque enim Brachmanæ aut Indorum Gymnosophiftæ fumus syl.,"{'beg': 295, 'end': 304}",Brachmanæ,"['neu_0', 'neu_1']",False
1518,"qu'elle ne l'a été que par les væux solemnels que
l'on a faits dans la suit","{'beg': 31, 'end': 35}",væux,"['neu_0', 'neu_1']",False
616," elle était plongée.
Hanc, Sanguinis et aquæ munere, Dum penderet in crucis arbore, ","{'beg': 177, 'end': 181}",aquæ,"['neu_1', 'neu_0']",False
616,"miseriæ, Ecclesia.
","{'beg': 0, 'end': 7}",miseriæ,"['neu_1', 'neu_0']",False
1518,"tin prétend devoir aussi appartenir aux Cænobires, comme en effet il leur est resté.","{'beg': 178, 'end': 187}",Cænobires,"['neu_0', 'neu_1']",False
507,"Denuo ad exemplar Hagæ-comitense impressi, appendice de ...
Identifiant ","{'beg': 18, 'end': 32}",Hagæ-comitense,"['neu_1', 'neu_0']",False
1518,ment : Neque enim Brachmanæ aut Indorum Gymnosophiftæ fumus syl.,"{'beg': 317, 'end': 330}",Gymnosophiftæ,"['neu_0', 'neu_1']",False
1518,"vicola , & exules vitæ.","{'beg': 18, 'end': 22}",vitæ,"['neu_0', 'neu_1']",False
507,"Denuo ad exemplar Hagæ-comitense impressi, appendice de sphæra morali au","{'beg': 18, 'end': 32}",Hagæ-comitense,"['neu_1', 'neu_0']",False
616,"Hæc est cymba qua tuti vehimur,","{'beg': 0, 'end': 3}",Hæc,['neu_1'],False
706,"rès énergiques sur l’appareil urinaire, le cœur, les veines, les organes de la respiration »","{'beg': 352, 'end': 364}","le cœur, les",['coo_1'],False
148,"contrôle de la régularité des décisions du FIA ou de sa société de gestion de portefeuille
","{'beg': 66, 'end': 78}",du FIA ou de,['coo_1'],False
1444,"- pour la l'alu, tu as un atelier ""fer"" dédié","{'beg': 7, 'end': 12}",la l',['coo_1'],False
148," cas d'une offre visant des certificats d'investissement ou des certificats de droit de vote, l'initiat","{'beg': 61, 'end': 84}",d'investissement ou des,['coo_1'],False
148,détenir à sa seule initiative ainsi que la date et les conditions auxquelles leur acquisition ,"{'beg': 140, 'end': 154}",la date et les,['coo_1'],False
1130,tueux des secteurs d’activité concernés aux enseignants et à leurs classes pour animer nos programme,"{'beg': 242, 'end': 262}",aux enseignants et à,['coo_1'],False
406,"s de l’imagerie aérienne du département du VAR et de la région Provence.
Merci d'accepter le","{'beg': 113, 'end': 125}",du VAR et de,['coo_1'],False
758,L’équipe en cuisine fait alors marcher son imagination et sa créativité pour sortir un repas complet,"{'beg': 39, 'end': 60}",son imagination et sa,['coo_1'],False
676,"ruction durable, de la gestion efficace des ressources et du changement climatique.","{'beg': 126, 'end': 146}",des ressources et du,['coo_1'],False
148,"s ou peut être réalisée à l'avenir ;
3° Le prix ou la parité d'échange auxquels l'initiateur ","{'beg': 280, 'end': 293}",Le prix ou la,['coo_1'],False
945,"rise de masse avec steroide, muscu sans steroide, les steroides anabolisants de a a z, Acheter Testoste","{'beg': 289, 'end': 312}","steroide, les steroides",['coo_1'],False
839,"ent de rassemblement contre les dangers du fascisme et des mouvements d’extrême-droite, il faut ég","{'beg': 93, 'end': 111}",du fascisme et des,['coo_1'],False
148,"ur de son offre et, en particulier :
a)	Le prix ou la parité proposés, en fonction des critèr","{'beg': 47, 'end': 60}",Le prix ou la,['coo_1'],False
1549,"mer un dialogue bienveillant, fondé sur la coopération et le développement de projets communs.","{'beg': 175, 'end': 195}",la coopération et le,['coo_1'],False
148,"oit faire l'objet, au titre du contrôle des concentrations, d'une notification à la Commission europée","{'beg': 249, 'end': 271}","des concentrations, d'",['coo_1'],False
342,"de recherche
Laboratoire d’Automatique, de Génie des Procédés et de Génie Pharmaceutique (LA","{'beg': 242, 'end': 254}",de Génie des,['coo_1'],False
1269,"Le refus du libre arbitre, du poids de la société et de ses
institutions font ","{'beg': 27, 'end': 38}",du poids de,['coo_1'],False
842,"a-vite et au moindre prix, surjoués par les comédiens (la prise de son n’étant pas faite en direc","{'beg': 54, 'end': 71}",les comédiens (la,['coo_1'],False
148,t recevoir directement ou indirectement d'ordres ni de fonds de la part du donneur d'ordres av,"{'beg': 50, 'end': 64}",d'ordres ni de,['coo_1'],False
1096,"Et pourtant je joue, je youtube, je net, j'évite du son etc...","{'beg': 33, 'end': 43}","je net, j'",['coo_1'],False
314,"document.body.className = document.body.className.replace('cookiebanner','');","{'beg': 26, 'end': 71}",document.body.className.replace('cookiebanner,['fle_2'],False
814,"étude
HCERES 2017
Doctorat
Annuaire des doctorant.e.s
Soutenances
Manifestations
Docteur.e.s
","{'beg': 81, 'end': 94}",doctorant.e.s,"['fle_0', 'fle_1', 'fle_2']",True
900,é créés en interaction permanente entre professionnel.le.s du terrain et universitaires à l’intent,"{'beg': 57, 'end': 75}",professionnel.le.s,"['fle_2', 'fle_0', 'fle_1']",True
660,Si vous me suivez sur instagram (@virginie.bichet) vous voyez sans doute de nombreuses ph,"{'beg': 33, 'end': 49}",@virginie.bichet,['fle_2'],False
885,"profite malgre jaillir ensuite voir les camarade.e.s sans avoir de intention,","{'beg': 54, 'end': 66}",camarade.e.s,"['fle_2', 'fle_1']",True
814,"octorant.e.s
Soutenances
Manifestations
Docteur.e.s
Master
Présentation
","{'beg': 122, 'end': 133}",Docteur.e.s,"['fle_0', 'fle_1', 'fle_2']",True
885,"n contracterOu disposer un grand rond d’ami.e.s, !","{'beg': 69, 'end': 76}",ami.e.s,"['fle_2', 'fle_0', 'fle_1']",True
342,"@evalag / @re_sources.co
Twitter: @EvaLagarde
Avec plus de 15 an","{'beg': 10, 'end': 24}",@re_sources.co,"['fle_2', 'fle_1']",False
314,"return unescape(document.cookie.substring(begin, end));","{'beg': 7, 'end': 47}",unescape(document.cookie.substring(begin,['fle_2'],False
314,"document.body.className = document.body.className.replace('cookiebanner','');","{'beg': 26, 'end': 71}",document.body.className.replace('cookiebanner,['fle_2'],False
314,"document.body.className = document.body.className.replace('cookiebanner','');","{'beg': 26, 'end': 71}",document.body.className.replace('cookiebanner,['fle_2'],False
900,ain et universitaires à l’intention des intervenant.e.s à domicile non paramédicaux.,"{'beg': 123, 'end': 138}",intervenant.e.s,"['fle_2', 'fle_0', 'fle_1']",True
140,"ice (VBA)
Connaissance de base des ERP (e.g.","{'beg': 93, 'end': 96}",e.g,['fle_2'],False
515, motivent tout un chacun à associer les habitant.e.s à ses actions et à mettre en place la p,"{'beg': 58, 'end': 70}",habitant.e.s,"['fle_2', 'fle_1']",True
494,"elobel , Eva Betavatzi , Vanessa Martin
Auteur.e
Johan Verhoeven
FIAN
Agriculture et sou","{'beg': 173, 'end': 181}",Auteur.e,"['fle_0', 'fle_1', 'fle_2']",True
840,"e pouvoir lire les témoignages d’autres marié.e.s dans la même galère !
","{'beg': 184, 'end': 193}",marié.e.s,"['fle_2', 'fle_0', 'fle_1']",True
818,i.e.,"{'beg': 0, 'end': 3}",i.e,['fle_2'],False
515,-elles compatibles avec les besoins des habitant.e.s visé.e.s ?,"{'beg': 57, 'end': 78}",habitant.e.s visé.e.s,"['fle_2', 'fle_1', 'fle_0']",True
874,est avec beaucoup de fierté que ses 200 salarié.e.s travaillent chaque jour à réduire la qu,"{'beg': 116, 'end': 127}",salarié.e.s,"['fle_2', 'fle_0', 'fle_1']",True
767,"s, gays, bi et trans, leurs familles et ami.e.s
","{'beg': 55, 'end': 62}",ami.e.s,"['fle_0', 'fle_1', 'fle_2']",True
264,"ft
Bonjour, Je suis à la recherche d'un dessinateur/dessinatrice pour quelques illustrations pour mon je","{'beg': 127, 'end': 151}",dessinateur/dessinatrice,['coo_2'],True
840,"e principal !
Câlin du courage à toutes celles et ceux qui ont vécu un report/annulation ou so","{'beg': 323, 'end': 337}",celles et ceux,['coo_2'],True
541,"9 dit :	
5 mai, 2021 à 19:31	
Bonjour à toutes et tous.
","{'beg': 254, 'end': 268}",toutes et tous,"['coo_1', 'coo_2']",True
520,"te, pour l’entretien individuel fuck (à celui ou celle qui sera face à toi) et un câlin pour l","{'beg': 55, 'end': 69}",celui ou celle,"['coo_1', 'coo_2']",True
891,Les #CCI continuent d'accompagner celles et ceux qui ont des idées.,"{'beg': 34, 'end': 48}",celles et ceux,['coo_2'],True
158,"que l'on appelle en astrologie un Vénusien (ou une Vénusienne) : vous êtes une personne sensuelle, ém","{'beg': 34, 'end': 61}",Vénusien (ou une Vénusienne,['coo_2'],True
1368," mon budget, pourquoi faire appel à une conseillère ( conseiller en économie sociale et familiale)?
","{'beg': 55, 'end': 79}",conseillère ( conseiller,"['coo_1', 'coo_2']",True
494,es origines (obligation économique pour le ou la prolétaire de vendre sa force de travai,"{'beg': 286, 'end': 294}",le ou la,"['coo_1', 'coo_2']",True
79,"DE LOGICIEL
Espace clients
Même si le « face à face » est toujours le meilleur moyen de com","{'beg': 53, 'end': 64}",face à face,['coo_2'],False
425,capital précieux et nécessaire pour les chercheurs et les chercheuses.,"{'beg': 49, 'end': 78}",chercheurs et les chercheuses,"['coo_1', 'coo_0', 'coo_2']",True
466,"ité.
1 Juin 2021 à 13:00
Offre d'emploi technicien ou technicienne en gestion des eaux
Poste régulier à te","{'beg': 136, 'end': 162}",technicien ou technicienne,"['coo_1', 'coo_2']",True
375," mes articles sont en accès libre, pour celles et ceux qui le souhaitent,","{'beg': 44, 'end': 58}",celles et ceux,['coo_2'],True
1313,"Allez bonnes vacances à tous et à toutes!
","{'beg': 24, 'end': 40}",tous et à toutes,"['coo_1', 'coo_2']",True
1113,La cocaïne saupoudre tous et toutes.,"{'beg': 21, 'end': 35}",tous et toutes,"['coo_1', 'coo_2']",True
395,"Althéa Manita, le 25 Nov 2021
Bonjour a toutes et à tous, j'ai 36 ans, je vis dans le sud de la ","{'beg': 88, 'end': 104}",toutes et à tous,"['coo_1', 'coo_2']",True
700,"Ainsi, les termes municipal, municipale et municipaux, par exemple, donneront t","{'beg': 18, 'end': 39}","municipal, municipale","['coo_1', 'coo_2']",False
574,"s entre Mathilde et Nathan un dangereux face à face, où se heurtent vérités occultées et me","{'beg': 53, 'end': 64}",face à face,['coo_2'],False
158,"n'envisagez de relation durable qu'avec ceux ou celles qui vous aiment ou vous admirent, vous ","{'beg': 90, 'end': 104}",ceux ou celles,['coo_2'],True
140,Le/la consultant(e),"{'beg': 0, 'end': 18}",Le/la consultant(e,"['fle_0', 'fle_1', 'coo_2']",True
760,"echniques, leurs enjeux nous concernent toutes et tous.","{'beg': 73, 'end': 87}",toutes et tous,"['coo_1', 'coo_2']",True
